stop_id,stop_name,stop_lat,stop_lon
822000438,Maldron Hotel,53.34523632,-6.240592441
8220B007612,Davenport Hotel Merrion Street,53.34134678,-6.25052948
8220DB000002,"Rotunda, Parnell Square West",53.35224436,-6.263723219
8220DB000003,"Rotunda, Granby Place",53.35230855,-6.263810742
8220DB000004,"Rotunda, Rotunda Hospital",53.35257451,-6.264175486
8220DB000006,"Rotunda, Saint Martin's Chapel",53.35274934,-6.264453804
8220DB000007,"Rotunda, Rotunda Hospital",53.35284091,-6.264570261
8220DB000008,"Rotunda, Parnell Square West",53.35327227,-6.265183677
8220DB000010,"Rotunda, Parnell Square West",53.3533921,-6.265389124
8220DB000011,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.3569583,-6.264628311
8220DB000012,"Phibsborough, Upper Dorset St (St.Joseph's Parade)",53.35680494,-6.264589471
8220DB000014,"Phibsborough, Lower Dorset Street",53.35853124,-6.262776506
8220DB000015,"Ballybough, Lower Dorset Street",53.36008858,-6.26109047
8220DB000016,"Cabra, John Paul Park",53.36639156,-6.305614184
8220DB000017,"Drumcondra, Outside Train Station",53.36291707,-6.258435917
8220DB000018,"Dromcondra, Lower Drumcondra Road",53.36585593,-6.255956821
8220DB000019,"Dromcondra, Lower Drumcondra Road",53.36714373,-6.255513501
8220DB000021,"Drumcondra (Dublin), Saint Patrick's College",53.3701012,-6.254310599
8220DB000022,"Drumcondra (Dublin), Home Farm Road (Achill Road)",53.37350361,-6.252803753
8220DB000023,"Drumcondra (Dublin), Ferguson Road",53.37422828,-6.256261004
8220DB000024,"Drumcondra (Dublin), Home Farm Road",53.37513316,-6.260372348
8220DB000025,"Glasnevin, Rathlin Road",53.37589947,-6.263617736
8220DB000027,"Glasnevin, Ballymun Road (Griffith Avenue)",53.37943896,-6.266585261
8220DB000028,"Wadelai, Glasnevin Tennis Club",53.38157864,-6.266002271
8220DB000029,"Whitehall (Dublin City), Ballymun Road",53.38348825,-6.265669101
