	Stop number	Name without locality	Locality	Locality number	Code	Stop No	NaPTAN stop class	NaPTANId	Easting	Northing	lat	lon
0	1	Pearse Street (Pearse Avenue)	Sallynoggin	E0825024	->NE2	3234	BCT	8250DB003234	724091	726427	53.27363814	-6.139471738
1	1	Pearse Street (Pearse Avenue)	Sallynoggin	E0825024	->SW1	3210	BCT	8250DB003210	724087	726412	53.27350434	-6.139537529
4	3	Clontarf Road Junction Strandville Avenu	Clontarf	E0822038	1	174	BCT	8220DB001741	718428	736222	53.36291727	-6.220675909
6	4	College Green	Dublin City South	E0822091	2	135	BCT	8220DB001359	715770	734095	53.34439941	-6.26136859
8	4	College Green	Dublin City South	E0822091	4	45	BCT	8220DB004522	715821	734081	53.34426249	-6.26060818
9	4	College Green	Dublin City South	E0822091	5	127	BCT	8220DB001279	715748	734079	53.34426049	-6.261704666
10	4	College Green	Dublin City South	E0822091	6	1278	BCT	8220DB001278	715775	734077	53.34423662	-6.261300118
12	4	College Green	Dublin City South	E0822091	8	45	BCT	8220DB004521	715850	734086	53.34430106	-6.260171051
13	5	Howth Road (Blackbanks)	Raheny	E0822042	->E2	54	BCT	8220DB000541	722942	738447	53.38187271	-6.152028068
14	5	Howth Road (Blackbanks)	Raheny	E0822042	->W	593	BCT	8220DB000593	723001	738458	53.38195778	-6.151137449
18	7	"Beneavin Road, Junction Beneavin Park"	Glasnevin	E0822022	->E	168	BCT	8220DB000168	714115	739049	53.38925997	-6.284423735
19	7	"Beneavin Road, Junction Beneavin Park"	Glasnevin	E0822022	->W2	165	BCT	8220DB000165	714159	739025	53.38903487	-6.283771249
20	8	D4 Hotels	Dublin City South	E0822091	1	7437	BCT	8220DB007437	717674	732911	53.33334403	-6.233228892
42	15	Wellington Lane (Wellington Green	Templeogue	E0823019	->N	100	BCT	8230DB000100	711816	729400	53.3030739	-6.322376751
47	17	Boghall Road (Cherry Tree Drive)	Bray	E0835048	->E	4138	BCT	8350DB004138	726575	717012	53.18848422	-6.105987716
48	17	Boghall Road (Cherry Tree Drive)	Bray	E0835048	->E2	4145	BCT	8350DB004145	726580	717020	53.18855489	-6.105909775
66	25	Monkstown	Monkstown (DunLaoghaire-Rathdown)	E0825023	2	3073	BCT	8250DB003073	722985	728641	53.29378259	-6.155188246
79	32	Westmoreland Street (O'Connell Bridge)	Dublin City South	E0822091	->S1	318	BCT	8220DB000318	715916	734311	53.34630773	-6.259098017
81	33	Phibsboro Road (Monck Place)	Dublin Airport	E0824041	->N	197	BCT	8220DB000197	714941	735695	53.35895263	-6.273231374
82	34	Woodford Walk (Woodford Grove)	Dublin Airport	E0824041	->SE	1965	BCT	8230DB001965	707970	731626	53.32386831	-6.37929675
95	39	Ballycullen Road (Hunter's Avenue)	Knocklyon	E0823008	->NW	628	BCT	8230DB006282	711459	725892	53.27163607	-6.328960789
97	40	All Saints Road (Sybill Hill Ave)	Raheny	E0822042	->E	650	BCT	8220DB000650	720732	737670	53.37540285	-6.185525483
98	40	All Saints Road (Sybill Hill Ave)	Raheny	E0822042	->W2	65	BCT	8220DB000659	720709	737651	53.37523744	-6.185878213
100	41	Grange Road (Tara Hill Road)	Rathfarnham	E0823016	->N	1327	BCT	8230DB001327	714503	728141	53.29119071	-6.282536031
101	42	Grange Road (Highfield Avenue)	Rathfarnham	E0823016	1	296	BCT	8250DB002969	715345	726843	53.2793484	-6.27038395
102	42	Grange Road (Highfield Avenue)	Rathfarnham	E0823016	->NW	297	BCT	8250DB002979	715480	726754	53.27851955	-6.26839294
103	43	Broadford Road (Stone Masons Way)	Ballinteer	E0825006	->W	285	BCT	8250DB002852	715970	727008	53.28069431	-6.260956512
104	43	Broadford Road (Stone Masons Way)	Ballinteer	E0825006	->E	2853	BCT	8250DB002853	715968	727021	53.28081153	-6.260981746
128	56	Kilbarron Road (Cromcastle Drive)	Kilmore (Dublin City)	E0822040	->W1	1228	BCT	8220DB001228	718549	739487	53.39221813	-6.217634406
129	56	Kilbarron Road (Cromcastle Drive)	Kilmore (Dublin City)	E0822040	->E	1237	BCT	8220DB001237	718452	739534	53.39266206	-6.219074385
148	66	Radisson Hotel Stillorgan Road	Booterstown	E0825027	1	200	BCT	8250DB002009	719449	729613	53.30332206	-6.207834882
149	66	Radisson Hotel Stillorgan Road	Booterstown	E0825027	2	2070	BCT	8250DB002070	719429	729597	53.30318284	-6.208140812
154	68	N11 Opp. R.T.E.	Donnybrook	E0822030	->NW	770	BCT	8220DB000770	718225	730842	53.31463619	-6.225731811
188	84	"Merrion Road, RDS"	Ballsbridge	E0822029	2	486	BCT	8220DB000486	717978	732368	53.3283988	-6.228869088
189	84	"Merrion Road, RDS"	Ballsbridge	E0822029	3	485	BCT	8220DB000485	717986	732363	53.3283521	-6.228750913
190	84	"Merrion Road, RDS"	Ballsbridge	E0822029	4	416	BCT	8220DB000416	717944	732394	53.32863992	-6.229369569
195	87	The 02 Arena (Point Depot)	Docklands	E0822073	1	73	BCT	8220DB007399	718050	734593	53.34836911	-6.22695976
198	87	The 02 Arena (Point Depot)	Docklands	E0822073	4	2507	BCT	8220DB002507	718039	734574	53.3482009	-6.22713197
216	93	Dublin Road (Malahide Road)	Swords	E0824015	->S1	36	BCT	8240DB003691	718127	746675	53.45687872	-6.221282007
237	104	Fonthill Road - Foxdene	Ronanstown	E0823021	1	268	BCT	8230DB002681	706032	733548	53.34152608	-6.407732026
238	104	Fonthill Road - Foxdene	Ronanstown	E0823021	2	267	BCT	8230DB002679	706016	733551	53.34155623	-6.40797119
250	110	Griffith Avenue (Malahide Road)	Marino	E0822032	->SE	1490	BCT	8220DB001490	717887	736872	53.36887682	-6.228557662
251	110	Griffith Avenue (Malahide Road)	Marino	E0822032	->W	14	BCT	8220DB001491	717949	736828	53.36846776	-6.22764291
277	116	Suffolk Street	Dublin City South	E0822091	4	794	BCT	8220DB000794	715845	734002	53.3435476	-6.260276826
